case,model,whole_gland_dice
case00,BAMF/AIMI prostate MR,0.9620860939088307
case01,BAMF/AIMI prostate MR,0.9121889343672764
case02,BAMF/AIMI prostate MR,0.9445438282647585
case03,BAMF/AIMI prostate MR,0.9599401491242409
case04,BAMF/AIMI prostate MR,0.939306128929819
case05,BAMF/AIMI prostate MR,0.9224457562007254
case06,BAMF/AIMI prostate MR,0.9192726221033224
case07,BAMF/AIMI prostate MR,0.8723081589323628
case08,BAMF/AIMI prostate MR,0.9123594751501728
case09,BAMF/AIMI prostate MR,0.8523970697329377
case10,BAMF/AIMI prostate MR,0.8789335313478366
case11,BAMF/AIMI prostate MR,0.9134692363568923
case12,BAMF/AIMI prostate MR,0.9037337795945242
case13,BAMF/AIMI prostate MR,0.9154610521330263
case14,BAMF/AIMI prostate MR,0.9379597808234303
case15,BAMF/AIMI prostate MR,0.9234666789778629
case16,BAMF/AIMI prostate MR,0.9220900118153934
case17,BAMF/AIMI prostate MR,0.947410512185195
case18,BAMF/AIMI prostate MR,0.928889206901051
case19,BAMF/AIMI prostate MR,0.9465430258315015
case20,BAMF/AIMI prostate MR,0.9169321034252083
case21,BAMF/AIMI prostate MR,0.9385350284814474
case22,BAMF/AIMI prostate MR,0.8899837167550415
case23,BAMF/AIMI prostate MR,0.919531988397484
case24,BAMF/AIMI prostate MR,0.8615267755412077
case25,BAMF/AIMI prostate MR,0.929517490007576
case26,BAMF/AIMI prostate MR,0.8931629013079667
case27,BAMF/AIMI prostate MR,0.884590914874666
case28,BAMF/AIMI prostate MR,0.9265822784810127
case29,BAMF/AIMI prostate MR,0.9138619807305673
