case,dice,geometry_ok,geometry_note,gt_voxels,pred_voxels
Case00,0.8204940181627441,True,ok,276765,195080
Case01,0.9587005543127689,True,ok,114562,108056
Case02,0.39262508741814484,True,ok,175183,60752
Case03,0.8985057063817191,True,ok,145985,127656
Case04,0.8378798851962126,True,ok,213235,159575
Case05,0.6840735323930609,True,ok,359736,192728
Case06,0.3959983588492452,True,ok,508797,127342
Case07,0.9104209061957484,True,ok,185667,162249
Case08,0.9280948176199102,True,ok,110354,109352
Case09,0.3567937864433574,True,ok,358176,78289
Case10,0.8730855499442693,True,ok,160165,130519
Case11,0.9156277884299523,True,ok,229955,199274
Case12,0.7270748843319815,True,ok,222403,127737
Case13,0.9310863224991731,True,ok,33696,32822
Case14,0.9586577969086284,True,ok,50901,51319
Case15,0.949041761778858,True,ok,29574,31319
Case16,0.9470400827342329,True,ok,30396,29555
Case17,0.9288856659415035,True,ok,10616,10069
Case18,0.9411546013267807,True,ok,89169,82977
Case19,0.9412902509790243,True,ok,31252,31821
Case20,0.9363824503311259,True,ok,24563,23757
Case21,0.935068862193144,True,ok,35602,37152
Case22,0.9584100369349827,True,ok,42542,42743
Case23,0.9676725799794069,True,ok,224278,216648
Case24,0.9636025795168871,True,ok,23190,22555
Case25,0.9493068442309791,True,ok,47179,44431
Case26,0.8871954078585637,True,ok,112110,90497
Case27,0.8488583416224786,True,ok,76684,57025
Case28,0.9464107663535283,True,ok,95916,89625
Case29,0.962954115359205,True,ok,136329,131582
Case30,0.7675595879628723,True,ok,94156,58937
Case31,0.9472821073490724,True,ok,105793,99090
Case32,0.9541505791505791,True,ok,57592,54296
Case33,0.9172186700416948,True,ok,98268,84249
Case34,0.9539754932898293,True,ok,42348,41629
Case35,0.9470989315290368,True,ok,19442,18837
Case36,0.9415979519758646,True,ok,72311,65578
Case37,0.9247380024765184,True,ok,35105,31117
Case38,0.7365554359526373,True,ok,57583,35317
Case39,0.5036067433943913,True,ok,36917,12435
Case40,0.5334870317002882,True,ok,25372,9328
Case41,0.8576438283653687,True,ok,16682,13545
Case42,0.7658152556884912,True,ok,80225,51752
Case43,0.8230322926654857,True,ok,36026,25505
Case44,0.7800582475290664,True,ok,26164,17443
Case45,0.8621104226394155,True,ok,17067,15372
Case46,0.8242520389692273,True,ok,28766,20401
Case47,0.8945074106364429,True,ok,24234,21646
Case48,0.9242602991836157,True,ok,33805,29768
Case49,0.9177897068208266,True,ok,28097,25181
Mean,0.8485826675909669,,,,
